v8-version,6,2,414,78,0
code-creation,Builtin,5,3466,0x932235d5c20,167,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,3467,0x932235d5d40,163,"AsyncGeneratorYieldResolveClosure"
code-creation,Builtin,5,3468,0x932235d5e60,167,"AsyncGeneratorReturnResolveClosure"
code-creation,Builtin,5,3469,0x932235d5f80,163,"AsyncGeneratorReturnClosedResolveClosure"
code-creation,Builtin,5,3470,0x932235d60a0,159,"AsyncGeneratorReturnClosedRejectClosure"
code-creation,Builtin,5,3471,0x932235d61a0,20,"ArrayConstructor"
code-creation,Builtin,5,3472,0x932235d6220,99,"ArrayIsArray"
code-creation,Builtin,5,3473,0x932235d6300,15,"ArrayConcat"
code-creation,Builtin,5,3474,0x932235d6380,651,"FastArrayPop"
code-creation,Builtin,5,3481,0x932235d6680,15,"ArrayPop"
code-creation,Builtin,5,3482,0x932235d6700,2400,"FastArrayPush"
code-creation,Builtin,5,3483,0x932235d70c0,15,"ArrayPush"
code-creation,Builtin,5,3484,0x932235d7140,1056,"FastArrayShift"
code-creation,Builtin,5,3485,0x932235d75c0,15,"ArrayShift"
code-creation,Builtin,5,3486,0x932235d7640,15,"ArrayUnshift"
code-creation,Builtin,5,3487,0x932235d76c0,15,"ArraySlice"
code-creation,Builtin,5,3487,0x932235d7740,15,"ArraySplice"
code-creation,Builtin,5,3488,0x932235d77c0,1264,"ArrayIncludes"
code-creation,Builtin,5,3489,0x932235d7d20,1052,"ArrayIndexOf"
code-creation,Builtin,5,3490,0x932235d81a0,386,"ArrayPrototypeKeys"
code-creation,Builtin,5,3491,0x932235d83a0,526,"ArrayPrototypeEntries"
code-creation,Builtin,5,3492,0x932235d8620,526,"ArrayPrototypeValues"
code-creation,Builtin,5,3493,0x932235d88a0,1509,"ArrayForEach"
code-creation,Builtin,5,3494,0x932235d8f00,538,"ToLength"
code-creation,Builtin,5,3495,0x932235d9180,249,"NonNumberToNumber"
code-creation,Builtin,5,3496,0x932235d92e0,190,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,3497,0x932235d9400,2864,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,3498,0x932235d9fa0,1936,"ProxyHasProperty"
code-creation,Builtin,5,3499,0x932235da7a0,2016,"HasProperty"
code-creation,Builtin,5,3500,0x932235dafe0,5774,"ArrayFilter"
code-creation,Builtin,5,3501,0x932235dc6e0,4768,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,3502,0x932235dd9e0,2764,"ArrayMap"
code-creation,Builtin,5,3503,0x932235de520,2912,"ArrayMapLoopContinuation"
code-creation,Builtin,5,3504,0x932235df0e0,1761,"ArrayEvery"
code-creation,Builtin,5,3505,0x932235df840,2960,"ArrayEveryLoopContinuation"
code-creation,Builtin,5,3506,0x932235e0440,1737,"ArraySome"
code-creation,Builtin,5,3506,0x932235e0b80,2944,"ArraySomeLoopContinuation"
code-creation,Builtin,5,3507,0x932235e1760,1643,"ArrayReduce"
code-creation,Builtin,5,3508,0x932235e1e40,2952,"ArrayReduceLoopContinuation"
code-creation,Builtin,5,3509,0x932235e2a40,1788,"ArrayReduceRight"
code-creation,Builtin,5,3510,0x932235e31a0,2904,"ArrayReduceRightLoopContinuation"
code-creation,Builtin,5,3511,0x932235e3d60,3016,"ArrayIteratorPrototypeNext"
code-creation,Builtin,5,3512,0x932235e49a0,47,"NumberConstructor"
code-creation,Builtin,5,3513,0x932235e4a40,241,"ToNumber"
code-creation,Builtin,5,3514,0x932235e4ba0,194,"NumberConstructor_ConstructStub"
code-creation,Builtin,5,3515,0x932235e4ce0,15,"NumberPrototypeToExponential"
code-creation,Builtin,5,3516,0x932235e4d60,15,"NumberPrototypeToFixed"
code-creation,Builtin,5,3517,0x932235e4de0,15,"NumberPrototypeToPrecision"
code-creation,Builtin,5,3518,0x932235e4e60,15,"NumberPrototypeToString"
code-creation,Builtin,5,3519,0x932235e4ee0,127,"NumberPrototypeValueOf"
code-creation,Builtin,5,3520,0x932235e4fc0,72,"NumberIsFinite"
code-creation,Builtin,5,3521,0x932235e5080,320,"NumberIsInteger"
code-creation,Builtin,5,3522,0x932235e5220,64,"NumberIsNaN"
code-creation,Builtin,5,3523,0x932235e52c0,356,"NumberIsSafeInteger"
code-creation,Builtin,5,3524,0x932235e54a0,155,"NumberParseFloat"
code-creation,Builtin,5,3525,0x932235e55a0,323,"ToString"
code-creation,Builtin,5,3526,0x932235e5760,311,"NumberParseInt"
code-creation,Builtin,5,3526,0x932235e5900,15,"BooleanConstructor"
code-creation,Builtin,5,3527,0x932235e5980,15,"BooleanConstructor_ConstructStub"
code-creation,Builtin,5,3528,0x932235e5a00,131,"BooleanPrototypeToString"
code-creation,Builtin,5,3529,0x932235e5b00,127,"BooleanPrototypeValueOf"
code-creation,Builtin,5,3530,0x932235e5be0,105,"StringConstructor"
code-creation,Builtin,5,3531,0x932235e5cc0,192,"StringConstructor_ConstructStub"
code-creation,Builtin,5,3532,0x932235e5de0,1660,"StringFromCharCode"
code-creation,Builtin,5,3533,0x932235e64c0,15,"StringFromCodePoint"
code-creation,Builtin,5,3534,0x932235e6540,1432,"StringPrototypeCharAt"
