v8-version,6,2,414,78,0
code-creation,Builtin,5,4627,0x20a55c24c7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,4627,0x20a55c24c9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,4628,0x20a55c24cc20,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,4629,0x20a55c24d2a0,76,"ToBoolean"
code-creation,Builtin,5,4630,0x20a55c24d360,3876,"ResolveNativePromise"
code-creation,Builtin,5,4631,0x20a55c24e300,284,"StringEqual"
code-creation,Builtin,5,4631,0x20a55c24e480,5132,"PerformNativePromiseThen"
code-creation,Builtin,5,4632,0x20a55c24f900,668,"RejectNativePromise"
code-creation,Builtin,5,4633,0x20a55c24fc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,4634,0x20a55c250460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,4635,0x20a55c250b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,4639,0x20a55c250f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,4640,0x20a55c251120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,4641,0x20a55c2512c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,4642,0x20a55c2513a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,4643,0x20a55c251880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,4643,0x20a55c251c80,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,4644,0x20a55c252080,15,"Illegal"
code-creation,Builtin,5,4645,0x20a55c252100,15,"ObjectAssign"
code-creation,Builtin,5,4646,0x20a55c252180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,4647,0x20a55c252200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,4648,0x20a55c252280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,4648,0x20a55c252300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,4649,0x20a55c252380,15,"ObjectIs"
code-creation,Builtin,5,4650,0x20a55c252400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,4651,0x20a55c252480,15,"ObjectSeal"
code-creation,Builtin,5,4651,0x20a55c252500,848,"ObjectCreate"
code-creation,Builtin,5,4652,0x20a55c2528c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,4653,0x20a55c252940,15,"ObjectDefineProperty"
code-creation,Builtin,5,4654,0x20a55c2529c0,15,"ObjectFreeze"
code-creation,Builtin,5,4654,0x20a55c252a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,4655,0x20a55c252ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,4656,0x20a55c252b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,4656,0x20a55c252bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,4657,0x20a55c252c40,15,"ObjectIsSealed"
code-creation,Builtin,5,4658,0x20a55c252cc0,540,"ObjectKeys"
code-creation,Builtin,5,4658,0x20a55c252f40,15,"ObjectEntries"
code-creation,Builtin,5,4659,0x20a55c252fc0,15,"ObjectValues"
code-creation,Builtin,5,4660,0x20a55c253040,15,"ObjectDefineGetter"
code-creation,Builtin,5,4661,0x20a55c2530c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,4661,0x20a55c253140,1943,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,4662,0x20a55c253940,15,"ObjectLookupGetter"
code-creation,Builtin,5,4663,0x20a55c2539c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,4664,0x20a55c253a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,4664,0x20a55c253b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,4665,0x20a55c253c00,1176,"ObjectPrototypeToString"
code-creation,Builtin,5,4666,0x20a55c254100,132,"ClassOf"
code-creation,Builtin,5,4667,0x20a55c254200,47,"ObjectPrototypeValueOf"
code-creation,Builtin,5,4667,0x20a55c2542a0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,4668,0x20a55c254320,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,4669,0x20a55c2543a0,15,"FunctionConstructor"
code-creation,Builtin,5,4669,0x20a55c254420,64,"FunctionPrototypeApply"
code-creation,Builtin,5,4670,0x20a55c2544c0,1240,"CallWithArrayLike"
code-creation,Builtin,5,4671,0x20a55c254a00,81,"CallVarargs"
code-creation,Builtin,5,4672,0x20a55c254ac0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,4672,0x20a55c254e80,15,"FunctionPrototypeBind"
code-creation,Builtin,5,4673,0x20a55c254f00,47,"FunctionPrototypeCall"
code-creation,Builtin,5,4674,0x20a55c254fa0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,4675,0x20a55c255020,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,4675,0x20a55c255180,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,4676,0x20a55c255220,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,4677,0x20a55c2556a0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,4678,0x20a55c255b20,159,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,4679,0x20a55c255c20,167,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,4679,0x20a55c255d40,163,"AsyncGeneratorYieldResolveClosure"
code-creation,Builtin,5,4680,0x20a55c255e60,167,"AsyncGeneratorReturnResolveClosure"
code-creation,Builtin,5,4681,0x20a55c255f80,163,"AsyncGeneratorReturnClosedResolveClosure"
code-creation,Builtin,5,4686,0x20a55c2560a0,159,"AsyncGeneratorReturnClosedRejectClosure"
code-creation,Builtin,5,4687,0x20a55c2561a0,20,"ArrayConstructor"
code-creation,Builtin,5,4687,0x20a55c256220,99,"ArrayIsArray"
code-creation,Builtin,5,4688,0x20a55c256300,15,"ArrayConcat"
code-creation,Builtin,5,4689,0x20a55c256380,651,"FastArrayPop"
